url,valid
https://www.youtube.com/shorts/xKPYSGtg2ao,y
https://www.youtube.com/shorts/ZtfqjjyQ6E0,y
https://www.youtube.com/shorts/_LtgMsBi29Q,y
https://www.youtube.com/shorts/Ms9EIbjo5zw,y
https://www.youtube.com/shorts/B_qWxJnQ7ts,y
https://www.youtube.com/shorts/LBPpjzwmIbw,y
https://www.youtube.com/shorts/dEmXjT8rqL8,y
https://www.youtube.com/shorts/yHJxsCCpvII,y
https://www.youtube.com/shorts/xuCZGyF4_OI,y
https://www.youtube.com/shorts/3_q4ltsZdXw,y
https://www.youtube.com/shorts/KI2xvN5uAio,y
https://www.youtube.com/shorts/FMLrXX8KuIE,y
https://www.youtube.com/shorts/KvC7BzOh3a4,y
https://www.youtube.com/shorts/qqD50l6uMoI,y
https://www.youtube.com/shorts/UC2wFWTIbOQ,n
https://www.youtube.com/shorts/E0CqSls9tlY,y
https://www.youtube.com/shorts/OekdUrh4Sjg,y
https://www.youtube.com/shorts/5AwBKfZ_ALw,y
https://www.youtube.com/shorts/jAJEXi5aE6A,y
https://www.youtube.com/shorts/k57-z_lu8ek,y
https://www.youtube.com/shorts/cz6EnE7_otM,n
https://www.youtube.com/shorts/5ec0vrDiOGo,y
https://www.youtube.com/shorts/rkm_YBu8bQI,y
https://www.youtube.com/shorts/ufWndny-hiM,y
https://www.youtube.com/shorts/jCbK3JFlupg,y
https://www.youtube.com/shorts/UVYMHh1xiE8,y
https://www.youtube.com/shorts/nJrexVnM6a0,y
https://www.youtube.com/shorts/JBbq0AV6zRI,y
https://www.youtube.com/shorts/xq3qYrd7AYk,y
https://www.youtube.com/shorts/YIU3HFH6Tnc,y
https://www.youtube.com/shorts/oM69wmG521Y,y
https://www.youtube.com/shorts/HW4uJ5pPvcs,y
https://www.youtube.com/shorts/P4hnJyXvDcg,y
https://www.youtube.com/shorts/rS6vuHu-b6Q,y
https://www.youtube.com/shorts/54KVJVAWEzs,y
https://www.youtube.com/shorts/sNg-d3CZkXA,y
https://www.youtube.com/shorts/MVe7AcDfQ6s,y
https://www.youtube.com/shorts/Kmu7Maxn3DA,y
https://www.youtube.com/shorts/40Fp9vs4JNk,y
https://www.youtube.com/shorts/UspV5NdZdI4,y
https://www.youtube.com/shorts/XHLs8aYhgdw,y
https://www.youtube.com/shorts/8TTHB3-o32I,y
https://www.youtube.com/shorts/tMN6Dc7eb-c,y
https://www.youtube.com/shorts/OQucWSfivEY,y
https://www.youtube.com/shorts/LKG8dnwOHos,y
https://www.youtube.com/shorts/KHxEtJq_gr4,y
https://www.youtube.com/shorts/HHsTmqHs9BE,n
